part_number,new_part_number
241-621 ,
241-624 ,
241-625 ,
241-69 ,
241-695 ,
241-715 ,
241-719 ,50327378
241-720 ,
241-721 ,50327394
241-722A ,
241-723 ,
241-730 ,
241-739 ,
241-7584 ,
241-972 ,
241-974 ,
241-975 ,
241-D58 ,
241-D67 ,
241-N285 ,
241-N290 ,
24175-D53 ,
241CC4 ,
241JR38B ,50024595
241SR-164 ,
241SR-17 ,3040706
241SR-23 ,3040839
241SR-A160 ,3040995
241SR-A32A ,3632058
243HBD ,50196724
243HHB ,50206848
244-23 ,3670494
244-302 ,3670569
244-A40 ,3670601
244JR38 ,50019066
244JR38B ,50327725
244JR38C ,50024736
244R38 ,50047323
244R38A ,50073097
244R48 ,50011600
244R58 ,50069384
245JR38 ,50019082
245JR38B ,50024744
245JR38C ,50170216
245R38 ,50047349
245R48 ,50011907
245R58 ,
248A71 ,50028141
248DHD500 ,
248JR38 ,50019090
248R38 ,
249R38A ,50073139
249R50 ,50109131
24JR300 ,50312560
24PF2 ,50188176
24SR-101 ,3038353
24SR-103 ,3038379
24SR-104 ,3038387
24SR-105 ,3038395
24SR-106 ,3038403
24SR-107 ,3038411
24SR-118 ,3038429
24SR-207 ,3038445
24SR-283 ,
24SR-41 ,3038262
24SR-83 ,
250CC4 ,
251-1061 ,
251A10X1627B ,50072297
252DBM3 ,50157494
254CM ,50121136
254DBM3 ,
255FM2 ,50153014
257JA35 ,50013937
257JB5 ,50009042
258JB5 ,50009059
258S49 ,50035906
258S68 ,50175405
258SPF ,50198472
259SPF ,50197318
25A13C102 ,
25A13C168 ,95213278
25A13C174 ,50051606
25A13C192 ,
25A13C257 ,50053677
25A13C28 ,95266896
25A13C283 ,
25A13C322 ,95034047
25A13C325 ,
25A13C326 ,95098687
25A13C336 ,95034062
25A13C338 ,95098711
25A13C410 ,50119403
25A13C65 ,95098729
25F ,50110147
25PF2 ,
25PF3 ,50185313
260-726 ,3483663
260-A202 ,3483625
260DHD15 ,50251560
260DHD16 ,50214840
260HBCR ,50154897
260J10A ,50009729
260PB6 ,50007780
260PB8 ,50008119
260R39 ,50009968
260S49 ,50035963
260URD475 ,50080555
260URD550 ,50202704
261J40 ,50237189
261JA35 ,50013978
261JB5 ,50009083
261JR38 ,50019124
262D45 ,50008408
262D475 ,50016435
262URD550 ,50202985
262X71 ,50050004
263D50 ,
263JHM ,50041722
265D475 ,50237221
265URD475 ,50019389
265URD550 ,
266FM3 ,50237239
269LPF ,50251008
26A19X204RS ,95213625
26A19X205 ,50086503
26A19X2052RS ,50113489
26A19X208 ,95200655
26A19X2112RSC3,50113471
26A38 ,50028018
26A39 ,50028026
26A41 ,50028042
26A42 ,50028059
26A55 ,50028075
26A5S1124-00 ,95213419
26A72 ,
26B56 ,
26B58 ,50028083
26CC3 ,50019587
26CM150A ,50121441
26JL4 ,50064609
26PF2 ,50186998
27-1333 ,50633866
2705-TK2 ,3679484
270CC3 ,50019728
270D475 ,50237304
274D45 ,50008457
274DB30 ,50051747
274DHD1060 ,50041268
274J10 ,
274J10A ,50009752
274J15 ,50010578
274J30 ,50013007
274J50A ,50008531
274JA45 ,50015601
274JA55 ,50008770
274JB5 ,50009117
274JR300 ,50312784
274JR38 ,50565704
274JR38C ,50170240
274R48 ,50011972
274R58 ,50069434
274URD350 ,50213792
274URD550 ,50202571
274X71WD ,50073568
275X71 ,50073592
276D475 ,50237346
276L28 ,50169283
277X71 ,50073618
278D475A ,50219484
278DHD1060B ,50045160
278JR38C ,50170257
278URD475 ,50019405
278URD550 ,50202621
27A19X306 ,50113521
27A19X307 ,95200770
27A19X309NA ,
27A19X310NR ,95305645
27D505 ,50018084
27DA35 ,
27DB30 ,50050996
27DB35 ,50162791
27J30 ,50011063
27J40 ,50003011
27J50 ,50003755
27JA45 ,50014539
27JB5 ,50008838
27JR300 ,50312735
27PF1 ,
27R38 ,50043694
27R48 ,50010214
27S68 ,
27X59 ,
280CC25 ,50021575
280D475 ,
283FM ,
284DHD500 ,50039502
284PB59 ,50155530
286J10A ,50009778
286J30 ,50012202
286J50 ,50004712
286JA45 ,50015619
286JA55 ,50008788
287SAR120 ,
288DA30 ,50056266
288JR38 ,50019140
288S49 ,
289J30 ,50012210
289J40 ,50003318
289J50 ,50004720
289J50WD ,50004738
289JA55 ,
289JB4 ,50000140
289JB5 ,50009133
289X71WD ,50073675
28PF2 ,
28PF3 ,50185321
2904-P826 ,3471356
2905-11 ,3624244
2905-223 ,3654761
2905-302 ,3482080
2905-311 ,3654779
